ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,PCI Count,Status
32409007,C00F,2,06/29/2026,16:12:39:855,2,00/00/0000,00:00:00:000,,38.903357,-77.005745,0.00,0,0.00,,,49,0,0,-58.3,-58.3,,,538,1935.850000,20,15,A,2,2,0,0,822376,-85.46,-85.46,-13.28,1.65,-85.79,-85.79,-13.34,1.72,0,2.49,-85.07,-85.07,-13.28,2.72,-85.44,-85.44,-13.46,2.57,184394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:12:39:856,2,00/00/0000,00:00:00:000,,38.903384,-77.005893,0.00,0,0.00,,,50,0,0,-58.2,-58.2,,,538,1935.850000,20,15,A,2,2,0,0,822376,-85.65,-85.65,-13.37,1.33,-85.83,-85.83,-13.35,1.7,0,2.31,-85.45,-85.45,-13.87,1.57,-85.65,-85.65,-13.81,2.05,184394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:12:39:856,2,00/00/0000,00:00:00:000,,38.903410,-77.006041,0.00,0,0.00,,,51,0,0,-58.6,-58.6,,,538,1935.850000,20,15,A,2,2,0,0,822376,-86.23,-86.23,-13.63,1.27,-86.27,-86.27,-13.55,1.21,0,1.78,-86.5,-86.5,-14.42,1.06,-86.33,-86.33,-14.05,1.55,184394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:14:22:133,2,00/00/0000,00:00:00:000,,38.903436,-77.006189,0.00,0,0.00,,,52,0,0,-77.7,-77.7,,,101,1935.850000,20,15,A,2,2,0,0,822424,-105.75,-105.75,-14.63,-0.95,-105.5,-105.5,-14.48,-0.71,0,-0.73,-111.74,-111.74,-20.32,-10.27,-107.31,-107.31,-16,-0.73,164394,6E88100A098849813FB800530EE405A826234904FEE0014C3B9016000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900828BCE08DC21B8637106FB65F119563C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939222,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000,2,11
32409007,C00F,2,06/29/2026,16:14:22:147,2,00/00/0000,00:00:00:000,,38.903430,-77.006212,0.00,0,0.00,,,53,0,0,-76.9,-76.9,,,101,1935.850000,20,15,A,2,2,0,0,822424,-105.28,-105.28,-14.5,-0.69,-105.31,-105.31,-14.35,-0.48,0,-0.49,-106.56,-106.56,-16.04,-5.73,-106.98,-106.98,-16.34,-0.49,164394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:14:22:147,2,00/00/0000,00:00:00:000,,38.903424,-77.006236,0.00,0,0.00,,,54,0,0,-77.4,-77.4,,,101,1935.850000,20,15,A,2,2,0,0,822424,-105.03,-105.03,-14,0.32,-104.91,-104.91,-13.96,0.38,0,0.45,-108.12,-108.12,-17,-6.37,-106.65,-106.65,-15.57,0.45,164394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:14:22:147,2,00/00/0000,00:00:00:000,,38.903418,-77.006260,0.00,0,0.00,,,55,0,0,-77.7,-77.7,,,101,1935.850000,20,15,A,2,2,0,0,822424,-105.38,-105.38,-13.51,1.23,-105.12,-105.12,-13.55,1.1,0,1.7,-109.54,-109.54,-18.34,-7.01,-106.93,-106.93,-15.56,1.7,164394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:17:40:483,2,00/00/0000,00:00:00:000,,38.903294,-77.005691,0.00,0,0.00,,,60,0,0,-56.1,-56.1,,,538,1935.850000,20,15,A,1,1,0,0,822228,-80.84,-80.84,-11.29,10.78,-80.97,-80.97,-11.3,10.97,32,11.87,-81.29,-81.29,-11.53,10.84,-81.02,-81.02,-11.31,11.54,464394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000,1,11
32409007,C00F,2,06/29/2026,16:17:40:503,2,00/00/0000,00:00:00:000,,38.903297,-77.005674,0.00,0,0.00,,,61,0,0,-54.7,-54.7,,,538,1935.850000,20,15,A,1,1,0,0,822228,-79.33,-79.33,-11.19,12.03,-79.43,-79.43,-11.2,12.08,32,13.06,-79.71,-79.71,-11.29,12.31,-79.48,-79.48,-11.15,12.82,484394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:17:40:503,2,00/00/0000,00:00:00:000,,38.903301,-77.005657,0.00,0,0.00,,,62,0,0,-54.3,-54.3,,,538,1935.850000,20,15,A,1,1,0,0,822228,-78.88,-78.88,-11.23,11.43,-78.98,-78.98,-11.24,11.6,32,12.51,-79.39,-79.39,-11.41,12.53,-79.07,-79.07,-11.19,12.51,484394,,,,,,,,,,,,,,,,,,,,1,11
